Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
03/02/2017 00:00,1009.15,1022.64,987.01,1016.99,10928.02,11029881.3,1009.32
04/02/2017 00:00,1015.06,1044.23,1004,1033.18,5752.29,5884560.6,1022.99
05/02/2017 00:00,1033.72,1034.6,1004.7,1011.07,4348.17,4417546.51,1015.96
06/02/2017 00:00,1010.03,1031.94,1005.1,1023.99,5080.85,5188721.52,1021.23
07/02/2017 00:00,1024,1056.25,1021.3,1052.48,5372.13,5605838.11,1043.5
08/02/2017 00:00,1052.48,1070,1025,1050.4,9633.26,10072826.84,1045.63
09/02/2017 00:00,1051.73,1074.69,913.73,986,25150.07,25064862.06,996.61
10/02/2017 00:00,985.71,1010.68,950,996.08,10731.29,10491584.37,977.66
11/02/2017 00:00,995.49,1020,987.62,1012.4,4472.51,4509154.73,1008.19
12/02/2017 00:00,1011.01,1011.97,991.98,1000.73,2684,2690265.37,1002.34
13/02/2017 00:00,1000.73,1007.89,975.1,1000.79,4547.26,4522130.78,994.47
14/02/2017 00:00,1000.74,1019,987.97,1008.88,6761.11,6806110.34,1006.66
15/02/2017 00:00,1008.88,1013.8,1000.97,1011.53,3095.66,3123812.22,1009.09
16/02/2017 00:00,1011.53,1043.21,1010.75,1032.7,5996.1,6170238.86,1029.04
17/02/2017 00:00,1032.91,1064.99,1031.98,1055.46,6085.02,6386285.16,1049.51
18/02/2017 00:00,1055.75,1068.99,1046.14,1056.4,4474.95,4745831.61,1060.53
19/02/2017 00:00,1056.4,1061.9,1039.07,1051.8,2270.85,2388775.41,1051.93
20/02/2017 00:00,1051.8,1089.99,1044.39,1084,3664.37,3902660.35,1065.03
21/02/2017 00:00,1084,1126.86,1077,1124.62,8395.47,9273663.18,1104.6
22/02/2017 00:00,1124.83,1143,1098.16,1130.01,11673.09,13146726.04,1126.24
23/02/2017 00:00,1130.02,1193.92,1120.73,1188.11,11753.24,13558056.03,1153.56
24/02/2017 00:00,1183.53,1220,1091.1,1180.14,19598.23,23023500.2,1174.77
25/02/2017 00:00,1180.05,1184.73,1127,1152.2,6238.44,7226444.77,1158.37
26/02/2017 00:00,1152.11,1184.97,1133,1179.05,3536.49,4127618.08,1167.15
27/02/2017 00:00,1180.46,1197.99,1169,1194.64,4640.77,5511306.9,1187.58
28/02/2017 00:00,1194.64,1209.99,1176.27,1191.21,7562.47,9017082.51,1192.35
01/03/2017 00:00,1191.16,1231,1188.3,1226.39,6013.07,7276140.33,1210.05
02/03/2017 00:00,1228,1283.25,1215,1257.6,7762.73,9679539.51,1246.92
03/03/2017 00:00,1256.32,1298,1255,1285.33,7545.48,9615648.42,1274.36
04/03/2017 00:00,1287.38,1289.55,1230,1260,4951.23,6237601.9,1259.81
05/03/2017 00:00,1260,1275,1240,1273,3026.02,3809526.44,1258.92
06/03/2017 00:00,1269.98,1285,1251,1278.49,4249.65,5420772.93,1275.58
07/03/2017 00:00,1278.49,1281.62,1175.97,1233.05,14450.04,17887749.61,1237.9
08/03/2017 00:00,1233.86,1245.49,1145.5,1150.05,13399.44,15905595.45,1187.03
09/03/2017 00:00,1149.34,1208,1135.01,1190.89,7654.74,9019820.32,1178.33
10/03/2017 00:00,1190.99,1350,975,1116.97,33467.94,38830456.29,1160.23
11/03/2017 00:00,1111.55,1198,1106.51,1176.55,7346.79,8529224.3,1160.95
12/03/2017 00:00,1176.58,1241.85,1170.9,1226.62,5793.91,7003314.41,1208.74
13/03/2017 00:00,1226.42,1249.02,1215.43,1242.46,5637.36,6963555.14,1235.25
14/03/2017 00:00,1242.46,1260,1226.5,1245.86,5745.5,7156458.55,1245.58
15/03/2017 00:00,1245.82,1260,1238.32,1257.32,3930.5,4920843.36,1251.96
16/03/2017 00:00,1258.75,1258.96,1130,1172.62,15246.55,18265147.56,1197.99
17/03/2017 00:00,1172,1173.23,1063,1071.02,16704.57,18711161.79,1120.12
18/03/2017 00:00,1068.16,1099,944.36,969.4,21292.6,21545879.41,1011.89
19/03/2017 00:00,969.4,1063.7,969.4,1017.97,12201.86,12333561.01,1010.79
20/03/2017 00:00,1012.88,1053,1010.01,1035.96,7497.91,7764665.81,1035.58
21/03/2017 00:00,1036.23,1117.9,1034.92,1114.39,11125.5,12068049.72,1084.72
22/03/2017 00:00,1114.39,1114.39,988,1037.56,14521.26,15061002.63,1037.17
23/03/2017 00:00,1037.6,1054.4,1010.69,1029.65,5917,6134595.75,1036.78
24/03/2017 00:00,1030.84,1032,920,929.06,16072.42,15697051.68,976.65
25/03/2017 00:00,928.1,963.36,891.33,956.02,13507.44,12469646.95,923.17
26/03/2017 00:00,956.02,997,937.52,960,9012.92,8743359.97,970.09
27/03/2017 00:00,959.08,1043,952.95,1039.92,8687.09,8753826.09,1007.68
28/03/2017 00:00,1039.09,1068.26,1014.9,1043.99,9115.52,9538479.55,1046.4
29/03/2017 00:00,1042.83,1059.43,1008.16,1035.96,9379.72,9675900.4,1031.58
30/03/2017 00:00,1037.29,1050.17,1017.14,1033.7,8645.38,8919386.18,1031.69
31/03/2017 00:00,1033.79,1081,1031.43,1070.31,12058.79,12711331.62,1054.11
01/04/2017 00:00,1071.34,1097,1061.64,1083.94,5209.13,5617315.77,1078.36
02/04/2017 00:00,1083.95,1100,1066.49,1078.01,7639.9,8274688.32,1083.09
03/04/2017 00:00,1076.59,1152,1076.19,1144.77,11076.86,12487637.63,1127.36
04/04/2017 00:00,1146.42,1162.93,1118.85,1143,7420.87,8471842.7,1141.62
05/04/2017 00:00,1143,1145,1111,1134.58,5588.98,6299621.45,1127.15
06/04/2017 00:00,1134.86,1201.37,1134.36,1190.85,9134.3,10690571.43,1170.38
07/04/2017 00:00,1190.72,1202,1176,1190.66,5450.27,6486716.5,1190.16
08/04/2017 00:00,1190.66,1197.3,1166.66,1184.03,2720.8,3224244.36,1185.04
09/04/2017 00:00,1184.05,1216.87,1173.98,1206.2,4817.42,5764973.91,1196.69
10/04/2017 00:00,1205.2,1219.71,1195,1209.25,3656.82,4416613.87,1207.78
11/04/2017 00:00,1209.99,1229,1198.02,1218.99,3487.75,4229830.76,1212.77
12/04/2017 00:00,1218.99,1224.57,1208,1212.17,3475.19,4224875.8,1215.72
13/04/2017 00:00,1212.16,1219.45,1141,1172.91,7135.3,8410788.79,1178.76
14/04/2017 00:00,1172.56,1193,1142,1170.34,8982.77,10475652.88,1166.19
15/04/2017 00:00,1169.53,1192.5,1165,1173.45,1804.45,2128067.82,1179.34
16/04/2017 00:00,1171,1179.3,1150,1162.31,2663.99,3094769.46,1161.7
17/04/2017 00:00,1162.31,1192.5,1161,1176.54,3568.83,4210491.81,1179.8
18/04/2017 00:00,1176.59,1210,1175.95,1202.58,5514.18,6636782.79,1203.58
19/04/2017 00:00,1202.59,1209.99,1190,1203.98,6046.52,7247878.76,1198.69
20/04/2017 00:00,1203.98,1243.88,1201.66,1234.19,5972.94,7302307.33,1222.57
21/04/2017 00:00,1234.93,1252.32,1231.65,1243.61,5023.04,6236859.58,1241.65
22/04/2017 00:00,1243.6,1247.15,1199,1233.2,4173.28,5126960.21,1228.52
23/04/2017 00:00,1231.85,1248.99,1223.42,1241.99,2604.72,3219987.14,1236.21
24/04/2017 00:00,1242,1254,1234,1253.58,3048.69,3788507.32,1242.67
25/04/2017 00:00,1253.57,1280,1251.07,1269,5249.77,6651231.27,1266.96
26/04/2017 00:00,1271.4,1330,1265,1287.99,8707.64,11266221.16,1293.83
27/04/2017 00:00,1287.92,1342.02,1285,1331.53,6669.99,8810060.91,1320.85
28/04/2017 00:00,1331,1347.02,1299,1330.7,8234.28,10882526.4,1321.61
29/04/2017 00:00,1333.93,1342.8,1316,1333,3927.45,5226089.45,1330.66
30/04/2017 00:00,1336.77,1356,1315.68,1350.21,3536.18,4718587.81,1334.38
01/05/2017 00:00,1348.88,1425,1341.22,1390.86,8604.41,11923132.22,1385.7
02/05/2017 00:00,1390.86,1481.73,1388,1447.75,8920.69,12836209.77,1438.93
03/05/2017 00:00,1447.75,1516.04,1431.02,1503.22,11077.59,16380266.84,1478.69
04/05/2017 00:00,1503.25,1623.01,1444.94,1537.23,19548.53,30115422.58,1540.55
05/05/2017 00:00,1537.36,1609,1495,1514.9,15603.68,24257672.5,1554.61
06/05/2017 00:00,1515.39,1578.97,1505,1558.02,7901.14,12179087.26,1541.43
07/05/2017 00:00,1554.04,1565,1525,1554.01,7667.79,11809645.33,1540.16
08/05/2017 00:00,1554.38,1653.97,1554.38,1649.54,19262.35,30652223.06,1591.3
09/05/2017 00:00,1649.55,1760.4,1616.05,1720.28,16807.73,28741490.64,1710.02
10/05/2017 00:00,1720.26,1794.21,1682,1772.58,11265.38,19697560.66,1748.5
11/05/2017 00:00,1774.52,1892,1745.01,1828.45,14740.22,26997283.11,1831.54
12/05/2017 00:00,1830.85,1832,1650,1691.51,17062.84,29856372.54,1749.79
13/05/2017 00:00,1690.33,1785.82,1601.46,1776.89,10532.23,17797259.46,1689.79
14/05/2017 00:00,1776.8,1815,1753,1784,4816.73,8585557.39,1782.44
15/05/2017 00:00,1782.3,1784,1682.56,1705.48,13316.8,22951575.79,1723.51
16/05/2017 00:00,1706.07,1750,1641.22,1700.01,16554.09,28255380.02,1706.85
17/05/2017 00:00,1700.01,1840.42,1670.01,1782.99,17797.32,31598676.87,1775.47
18/05/2017 00:00,1779,1881.8,1766.33,1878.99,11916.12,21766168.13,1826.61
19/05/2017 00:00,1879,1969.99,1874.99,1958,14124.62,27218796.92,1927.05
20/05/2017 00:00,1959.09,2021,1914,2013.99,12309.95,24248476.49,1969.83
21/05/2017 00:00,2013.99,2063.11,1961.52,2017.55,6755.83,13647083.74,2020.04
22/05/2017 00:00,2017.55,2230.34,2001,2099.97,16338.54,34535101.53,2113.72
23/05/2017 00:00,2088.76,2275,2088.45,2264.23,14138.92,31139771.52,2202.42
24/05/2017 00:00,2265.9,2481.75,2264.64,2420.29,22144.6,52782234.68,2383.53
25/05/2017 00:00,2420.29,2760.1,2221,2292.53,32964.76,83028907.05,2518.72
26/05/2017 00:00,2277.01,2599.12,2060,2279.82,28326.82,66466402.58,2346.41
27/05/2017 00:00,2280.7,2339.94,1850,2042,26216.28,54113571.78,2064.12
28/05/2017 00:00,2042.89,2313.96,2041.48,2178.81,15375.22,33655092.72,2188.92
29/05/2017 00:00,2172.54,2350,2110,2292.1,12129.28,27376000.71,2257.02
30/05/2017 00:00,2290.18,2339.08,2160,2203.51,13888.85,31434633.58,2263.3
31/05/2017 00:00,2201.7,2334,2154.28,2298.01,16279.29,36862481.13,2264.38
01/06/2017 00:00,2298.01,2456.39,2296.81,2413.63,18401.66,43990417.87,2390.57
02/06/2017 00:00,2413.58,2489,2370.03,2488.94,12428.7,30186115.46,2428.74
03/06/2017 00:00,2488.94,2584.34,2445,2540.94,10810.58,27295110.64,2524.85
04/06/2017 00:00,2538.1,2569,2460,2530.27,8828.62,22263365.05,2521.73
05/06/2017 00:00,2530.27,2699.35,2525.28,2698,12221.44,31919212.32,2611.74
06/06/2017 00:00,2698,2933,2689.4,2880.74,26695.67,75249106.78,2818.78
07/06/2017 00:00,2875.71,2893.28,2612.5,2683.03,16967.04,47205426.44,2782.18
08/06/2017 00:00,2680.24,2815,2613.13,2806,13251.41,36430027.3,2749.14
09/06/2017 00:00,2805.46,2868.23,2780.43,2822.32,8036.31,22701156.24,2824.82
10/06/2017 00:00,2818,2912.98,2800,2899.99,9593.36,27434766.12,2859.77
11/06/2017 00:00,2899.01,2967.46,2861.53,2954.22,6830.61,19889995.68,2911.89
12/06/2017 00:00,2954.23,2980,2480.03,2667.06,31534.95,85799286.22,2720.77
13/06/2017 00:00,2656.97,2783.62,2638.62,2703.02,16275.83,44217458.2,2716.76
14/06/2017 00:00,2705.99,2801,2320,2450,29478.82,76114991.86,2582.02
15/06/2017 00:00,2451.42,2516.2,2120,2424.91,36751.09,84952914.56,2311.58
16/06/2017 00:00,2424.96,2540,2307.66,2484.68,13802.39,33831741.34,2451.15
17/06/2017 00:00,2484.68,2674.4,2420.53,2630,11142.99,28569796.41,2563.93
18/06/2017 00:00,2630.06,2665,2460.62,2516.98,9424.23,24023680.66,2549.14
19/06/2017 00:00,2516.98,2598,2480.96,2598,10570.67,27011860.51,2555.36
20/06/2017 00:00,2598,2783,2581,2740,15891.7,42538164.74,2676.75
21/06/2017 00:00,2734.03,2789,2611,2657.04,15676.32,42304860.31,2698.65
22/06/2017 00:00,2658.67,2740,2594.61,2713.48,10792.79,28955845.86,2682.89
23/06/2017 00:00,2713.48,2745,2657.46,2685.05,8232.48,22348019.56,2714.62
24/06/2017 00:00,2685.05,2724.96,2512.13,2557.66,13342.82,34944802.73,2619
25/06/2017 00:00,2557.66,2635.72,2432,2502.03,10339.57,26249953.89,2538.78
26/06/2017 00:00,2502.26,2550.03,2315.01,2421.22,22094.21,54096000.65,2448.42
27/06/2017 00:00,2421.21,2565,2291,2565,19129.6,45774590.05,2392.87
28/06/2017 00:00,2565,2593,2468.01,2559.9,12274.55,31106035.77,2534.19
29/06/2017 00:00,2550.99,2594.78,2500.31,2541.59,8125.38,20771078.34,2556.32
30/06/2017 00:00,2538.41,2564.58,2451,2465.49,8715.72,21948643.03,2518.28
01/07/2017 00:00,2465.48,2517.11,2390,2412.41,8885.89,21750491.24,2447.76
02/07/2017 00:00,2421.3,2528.72,2374.34,2504.37,8744.53,21386273.68,2445.67
03/07/2017 00:00,2504.81,2595,2472.68,2550.47,11520.71,29213705.74,2535.76
04/07/2017 00:00,2540.07,2639.47,2540.07,2596.12,9662.76,25107482.88,2598.38
05/07/2017 00:00,2594.52,2623,2530.1,2602.9,10882.84,27950344.7,2568.3
06/07/2017 00:00,2598.37,2614,2522,2600.39,8333.98,21529601.71,2583.35
07/07/2017 00:00,2599.01,2605,2475,2501.46,9430.62,23870564.36,2531.18
08/07/2017 00:00,2501.46,2555,2462,2550.07,5405.89,13584489.52,2512.9
09/07/2017 00:00,2550.13,2564.65,2500.5,2502.28,4483.14,11362427.97,2534.48
10/07/2017 00:00,2504,2527.88,2261.85,2323.45,17296.34,41650843.77,2408.07
11/07/2017 00:00,2326.12,2399,2242.62,2305.98,17580.96,41145883.94,2340.37
12/07/2017 00:00,2301.55,2408.84,2239.54,2388,12883.55,30256255.57,2348.44
13/07/2017 00:00,2383.97,2425.16,2312.93,2339.99,8429.85,19957908.68,2367.53
14/07/2017 00:00,2340,2357.84,2140,2213.37,12659.02,28326253.11,2237.63
15/07/2017 00:00,2209.44,2219.99,1967.65,1970.51,19886.68,40927009.37,2058.01
16/07/2017 00:00,1970.51,2044.44,1830,1917.63,25562.71,49010482.23,1917.27
17/07/2017 00:00,1917.72,2229.97,1910.57,2226,26448.5,55057438.35,2081.68
18/07/2017 00:00,2226,2392,2164,2303.71,25204.49,57683997.07,2288.64
19/07/2017 00:00,2308.82,2402.5,2223,2265.21,17009.88,39248446.86,2307.39
20/07/2017 00:00,2265.51,2938,2265.51,2875.03,30989.89,80388738.23,2594.03
21/07/2017 00:00,2880,2887.45,2611.39,2670,20724.16,56456355.34,2724.18
22/07/2017 00:00,2667.01,2882,2644.59,2832.71,12819.63,35805144.41,2792.99
23/07/2017 00:00,2824.82,2855,2640,2749.02,11001.96,30310788.74,2755.03
24/07/2017 00:00,2756.8,2800,2701,2759.98,10001.92,27562701.02,2755.74
25/07/2017 00:00,2759.95,2775.79,2450,2564.82,21326.55,55120720.9,2584.61
26/07/2017 00:00,2564.74,2608.96,2400,2524.99,17713.67,44091449.21,2489.12
27/07/2017 00:00,2524.99,2695,2509.63,2666.33,11826.48,30470923.86,2576.5
28/07/2017 00:00,2666.33,2825,2655.82,2777.01,14069.5,38675840.62,2748.91
29/07/2017 00:00,2777.01,2785.65,2631.78,2680.56,10782.22,29159800.95,2704.43
30/07/2017 00:00,2681.6,2774.45,2569.69,2742.37,9678.16,25848893.08,2670.85
31/07/2017 00:00,2745.76,2889.99,2680.01,2855.81,11114.34,30777296.21,2769.15
01/08/2017 00:00,2855.81,2929.17,2615,2731,12525.08,34322796.56,2740.33
02/08/2017 00:00,2732,2760,2650,2703.51,9486.63,25701106.1,2709.19
03/08/2017 00:00,2703.51,2807.44,2698.83,2793.37,7963.7,21938304,2754.79
04/08/2017 00:00,2793.34,2877.52,2765.91,2855,7635.82,21650087.64,2835.33
05/08/2017 00:00,2851.01,3339.66,2848.32,3263.62,16996.27,53861926.03,3169.04
06/08/2017 00:00,3263.51,3296.51,3146.1,3222.75,5998.74,19412655.97,3236.12
07/08/2017 00:00,3216.78,3430,3186,3387.55,12046.12,40225852,3339.32
08/08/2017 00:00,3387.54,3490,3300,3412.41,15835.37,54054824.25,3413.55
09/08/2017 00:00,3408.46,3423.1,3178.72,3342.99,14286.84,47356464.4,3314.69
10/08/2017 00:00,3342.99,3448,3311.17,3413.03,9031.12,30658440.51,3394.75
11/08/2017 00:00,3410,3705,3390.67,3645.06,11927.37,41888022.26,3511.92
12/08/2017 00:00,3651.74,3934,3586.95,3855.1,12351.07,46799798.4,3789.13
13/08/2017 00:00,3855.04,4190,3841.71,4053.87,15889.83,63672103.45,4007.1
14/08/2017 00:00,4053.87,4329.43,3964.96,4306.23,14212.3,59836002.81,4210.15
15/08/2017 00:00,4320.95,4400,3800,4155.67,25515.72,104651369.1,4101.45
16/08/2017 00:00,4154.99,4379.78,3926.06,4378.84,12923.64,54194325.8,4193.43
17/08/2017 00:00,4361.99,4480,4167.21,4276.5,14573.19,63228604.19,4338.69
18/08/2017 00:00,4260.47,4368,3964.96,4100,17516.99,73224029.24,4180.17
19/08/2017 00:00,4100,4188,3900,4099.55,15036.18,60604905.58,4030.6
20/08/2017 00:00,4091.99,4125.95,4000,4058.68,6237.97,25289638.6,4054.14
21/08/2017 00:00,4058.64,4080,3949.78,3987.52,9782.06,39203908.96,4007.74
22/08/2017 00:00,3987.51,4139.31,3600,4085,23522.76,91600325.72,3894.12
23/08/2017 00:00,4078,4248.97,4051.94,4108.12,14979.4,62117291.56,4146.85
24/08/2017 00:00,4121.78,4350,4082.57,4300.34,10782.69,45174068.67,4189.5
25/08/2017 00:00,4308.8,4449.98,4270,4355.98,9699.61,42274063.39,4358.33
26/08/2017 00:00,4348.17,4369.78,4232.43,4333.38,6559.67,28227915.28,4303.25
27/08/2017 00:00,4333.38,4393.3,4290.32,4337.68,3979.12,17263967.23,4338.63
28/08/2017 00:00,4329.91,4399.72,4169.01,4379.99,8641,37077203.39,4290.85
29/08/2017 00:00,4385,4649.78,4336.26,4578.82,11879.64,53491168.4,4502.76
30/08/2017 00:00,4578.82,4642.22,4479,4573.2,8720.04,39800539.16,4564.26
31/08/2017 00:00,4573.15,4765.21,4566.66,4734.26,8911.41,41726210.49,4682.33
01/09/2017 00:00,4734.26,4935,4671.09,4921.7,15367.53,73889667.5,4808.17
02/09/2017 00:00,4921.71,4979.9,4488.5,4599.9,16977.79,79492706.8,4682.16
03/09/2017 00:00,4599.9,4700,4385,4606.26,11224.91,51112035,4553.45
04/09/2017 00:00,4603.68,4613.97,4058.5,4277,25069.13,107792606.9,4299.82
05/09/2017 00:00,4282.53,4474.88,4001.93,4396.52,20884.22,88444473.15,4234.99
06/09/2017 00:00,4397.38,4649.23,4356.42,4605.8,16634.1,75306805.37,4527.25
07/09/2017 00:00,4605.81,4674.34,4475,4615,9254.85,42435328.99,4585.2
08/09/2017 00:00,4615,4679.97,4125.99,4312,23693.3,103569423.2,4371.25
09/09/2017 00:00,4327.41,4379.78,4164,4308.72,9974.39,42689334.62,4279.9
10/09/2017 00:00,4322.44,4322.44,4010,4226.22,14724.2,61040452.05,4145.59
11/09/2017 00:00,4226.21,4353.49,4092.4,4207.31,11191.6,47148979.98,4212.89
12/09/2017 00:00,4198.89,4377.65,4080,4172.56,13294.44,56268039.79,4232.45
13/09/2017 00:00,4170.6,4179.14,3720.01,3865.34,29636.38,115516897.1,3897.81
14/09/2017 00:00,3861.89,3921.74,3210,3227.79,41319.4,146101729.7,3535.91
15/09/2017 00:00,3227.79,3820,2972.01,3700.01,60278.95,203168386,3370.47
16/09/2017 00:00,3699.89,3872.9,3500,3678.93,23158.23,84905914.76,3666.34
17/09/2017 00:00,3669.07,3772.52,3463,3662.99,11770.22,42657776.56,3624.21
18/09/2017 00:00,3662.95,4122.7,3659.42,4101.6,17207.6,67988469.46,3951.07
19/09/2017 00:00,4102,4119.7,3848.35,3888.8,15278.93,60404491.57,3953.45
20/09/2017 00:00,3888.8,4050,3820.56,3874.46,11660.27,45847238.86,3931.92
21/09/2017 00:00,3864,3914,3573,3617.05,17904.3,67012342.18,3742.81
22/09/2017 00:00,3607.83,3761.84,3514,3612.18,15007.74,54271184.82,3616.21
23/09/2017 00:00,3611.91,3810.25,3552,3779.17,10123.23,37609099.77,3715.13
24/09/2017 00:00,3781.13,3783.25,3615,3664.22,6508.72,24009707.82,3688.85
25/09/2017 00:00,3667.01,3968.59,3658.39,3918,14979.78,57632408.09,3847.35
26/09/2017 00:00,3920.66,3970,3850.61,3888.03,10014.62,39220959.7,3916.37
27/09/2017 00:00,3883.95,4226.73,3870,4199.29,15075.84,61255648.53,4063.17
28/09/2017 00:00,4202.34,4270.01,4123.5,4184.84,9625.93,40309035.77,4187.55
29/09/2017 00:00,4183.47,4227.62,4022.02,4164.82,12191.93,50336312.65,4128.66
30/09/2017 00:00,4162.04,4349,4154.28,4326.09,7496.78,32073448.82,4278.3
01/10/2017 00:00,4326.09,4377.22,4216,4377.22,7211.34,30871704.79,4281
02/10/2017 00:00,4369.33,4453,4352,4391.48,8259.82,36293751.01,4394.01
03/10/2017 00:00,4391.41,4425,4218,4315.83,12468.06,53551605.48,4295.1
04/10/2017 00:00,4315.73,4343,4170.07,4219.53,8518.99,36068254.94,4233.86
05/10/2017 00:00,4219.74,4358.97,4137.96,4301.09,8419.96,35912272.84,4265.13
06/10/2017 00:00,4301.09,4425,4278.4,4362.95,8377.3,36552658.15,4363.3
07/10/2017 00:00,4356.09,4463,4312.82,4423.3,4646.41,20320065.24,4373.29
08/10/2017 00:00,4422.72,4612,4404.5,4597.98,10083.87,45490443.57,4511.21
09/10/2017 00:00,4597.97,4865,4541,4764.7,12923.67,60473207.29,4679.26
10/10/2017 00:00,4761.67,4909.97,4700,4749.29,11666.02,56088789.35,4807.87
11/10/2017 00:00,4747.9,4869.78,4700,4822.01,9866.9,47256315.42,4789.38
12/10/2017 00:00,4822.01,5445,4793.66,5445,19916.23,102559923.2,5149.57
13/10/2017 00:00,5444,5846.43,5380,5653.6,27827.38,155848051.9,5600.53
14/10/2017 00:00,5653.58,5817.34,5558.26,5801.29,8410.94,47779356.45,5680.62
15/10/2017 00:00,5795.01,5830,5415,5679.7,11542.95,64464008.42,5584.71
16/10/2017 00:00,5683.92,5807.11,5548,5745.72,9066.8,51508749.11,5681.03
17/10/2017 00:00,5752.2,5776.31,5506.78,5597.31,9105.28,51035573.57,5605.05
18/10/2017 00:00,5591.97,5617.75,5101.36,5582.05,18961.68,101657249.6,5361.2
19/10/2017 00:00,5572.64,5735.14,5512.06,5698.69,9919.84,56087316.56,5654.06
20/10/2017 00:00,5700,6074,5589.8,5977.29,15109.06,89014299.88,5891.45
21/10/2017 00:00,5977.26,6180,5871,6013.46,15357.42,92912504.83,6050.01
22/10/2017 00:00,6010.85,6071.07,5700,5969,12232.52,71898806.16,5877.68
23/10/2017 00:00,5967.38,6045.34,5617.75,5871.17,15331.64,89530043.16,5839.56
24/10/2017 00:00,5869.82,5870,5453.01,5523.4,17286.72,97560230.19,5643.65
25/10/2017 00:00,5518.49,5748,5366,5735.88,12349.11,68370411.13,5536.47
26/10/2017 00:00,5741.35,5988,5683,5890,11788.3,69079451.81,5860
27/10/2017 00:00,5889.99,5994.06,5674.06,5771.89,11911.04,69053794.44,5797.46
28/10/2017 00:00,5773.03,5875.66,5646.18,5730.69,5926.3,33993472.69,5736.04
29/10/2017 00:00,5731.7,6316.85,5683,6137.37,16086.63,96361934.29,5990.19
30/10/2017 00:00,6133.01,6229.77,6024.03,6119.99,9574.64,58637080.14,6124.2
31/10/2017 00:00,6120,6449.78,6072.81,6434.21,13423.31,84354477.98,6284.18
01/11/2017 00:00,6434.24,6756.36,6340.01,6741.59,12967.22,84891427.3,6546.62
02/11/2017 00:00,6745.04,7354.1,6700,7030,26514.65,184979262.3,6976.49
03/11/2017 00:00,7030,7500,6925.22,7146.82,15999.78,116037544.2,7252.44
04/11/2017 00:00,7145.24,7569.9,6994,7388.83,9200.11,66730277.42,7253.2
05/11/2017 00:00,7388.79,7590,7275.16,7372.72,9218.33,68631151.85,7445.08
06/11/2017 00:00,7373.3,7421.39,6922.07,6967.68,19323.13,138542391.8,7169.77
07/11/2017 00:00,6967.64,7244.69,6945,7130.28,11634.27,82632999.59,7102.55
08/11/2017 00:00,7131.38,7888,7080.01,7450.32,24679.72,183501327.1,7435.31
09/11/2017 00:00,7465.06,7490,7061.2,7148,14799.27,106985408.5,7229.1
10/11/2017 00:00,7150.61,7343.18,6429.44,6588.18,26614.28,181284361.1,6811.55
11/11/2017 00:00,6588.18,6820,6218,6355.13,14942.7,96800268.09,6478.1
12/11/2017 00:00,6355.13,6488.88,5555.55,5870.37,37315.16,225565297.5,6044.87
13/11/2017 00:00,5870.03,6775.75,5846,6525.17,27202.28,173971383.6,6395.47
14/11/2017 00:00,6524.69,6750,6466.88,6609,12072.05,79508390.54,6586.15
15/11/2017 00:00,6609,7350,6609,7294,16869.9,119171192.4,7064.13
16/11/2017 00:00,7294,7976.79,7120.85,7846.96,19272.37,145738327.5,7562.03
17/11/2017 00:00,7846.96,7997,7528.5,7674.99,17714.37,138124189.4,7797.3
18/11/2017 00:00,7675,7858,7431.54,7771.03,7326.81,56264967.21,7679.33
19/11/2017 00:00,7775.55,8087.35,7675,8016.58,8307.78,65332064.65,7863.96
20/11/2017 00:00,8016.58,8269.99,7900,8226.17,8179.46,66366007.81,8113.74
21/11/2017 00:00,8226.14,8354.46,7770,8095.23,13686.51,110811263.5,8096.38
22/11/2017 00:00,8095.19,8310.89,8045.76,8214.69,8078.58,66215711.71,8196.45
23/11/2017 00:00,8214.69,8279.76,7980,7989,7811.79,63644740.39,8147.26
24/11/2017 00:00,7988.96,8340,7876,8199.19,9289.99,75751868.75,8154.14
25/11/2017 00:00,8199.83,8737,8114.78,8717.99,11611.67,97628924.79,8407.83
26/11/2017 00:00,8718,9366.6,8538.2,9271.06,12021.22,108525815.5,9027.86
27/11/2017 00:00,9278.99,9721.7,9267,9708.07,13272.45,126458117.7,9527.86
28/11/2017 00:00,9708.06,9968,9582.25,9868.82,11214.93,110496755.9,9852.65
29/11/2017 00:00,9877.63,11395,9250,9824.68,33432.34,346949562.2,10377.66
30/11/2017 00:00,9833.7,10618.29,9000,9947.67,25433.46,247093850.8,9715.31
01/12/2017 00:00,9927.29,10949.89,9370.11,10840.45,16708.03,171881760.6,10287.37
02/12/2017 00:00,10840.45,11200,10637.69,10872,9267.16,101270084.4,10927.84
03/12/2017 00:00,10875.68,11800.01,10513.16,11250,14238.53,160176290.4,11249.5
04/12/2017 00:00,11250,11613.07,10850,11613.07,13621.48,154122917.9,11314.7
05/12/2017 00:00,11613.07,11850,11384.25,11677,11875.03,138370076.2,11652.18
06/12/2017 00:00,11676.99,13700,11659.8,13623.5,19784.87,250560790.3,12664.26
07/12/2017 00:00,13623,16615.62,13085.9,16599.99,25787.68,382694044.1,14840.19
08/12/2017 00:00,16599.99,16666.66,13482.42,15800,25473.4,389366035.1,15285.2
09/12/2017 00:00,15799.87,15998.5,12701.05,14607.49,16587.47,238909072.6,14402.98
10/12/2017 00:00,14601.01,15385,13011,14691,18487.98,263150668,14233.61
11/12/2017 00:00,14690.99,17270,14677.19,16470,16583.72,270203844.3,16293.32
